Frequency_Hz,Node1_Mag_dB,Node1_Phase_deg
6.904e+010,33.9794,0
6.913e+010,33.9794,0
6.922e+010,33.9794,0
6.931e+010,33.9794,0
6.94e+010,33.9794,0
6.949e+010,33.9794,0
6.958e+010,33.9794,0
6.967e+010,33.9794,0
6.976e+010,33.9794,0
6.985e+010,33.9794,0
6.994e+010,33.9794,0
7.003e+010,33.9794,0
7.012e+010,33.9794,0
7.021e+010,33.9794,0
7.03e+010,33.9794,0
7.039e+010,33.9794,0
7.048e+010,33.9794,0
7.057e+010,33.9794,0
7.066e+010,33.9794,0
7.075e+010,33.9794,0
7.084e+010,33.9794,0
7.093e+010,33.9794,0
7.102e+010,33.9794,0
7.111e+010,33.9794,0
7.12e+010,33.9794,0
7.129e+010,33.9794,0
7.138e+010,33.9794,0
7.147e+010,33.9794,0
7.156e+010,33.9794,0
7.165e+010,33.9794,0
7.174e+010,33.9794,0
7.183e+010,33.9794,0
7.192e+010,33.9794,0
7.201e+010,33.9794,0
7.21e+010,33.9794,0
7.219e+010,33.9794,0
7.228e+010,33.9794,0
7.237e+010,33.9794,0
7.246e+010,33.9794,0
7.255e+010,33.9794,0
7.264e+010,33.9794,0
7.273e+010,33.9794,0
7.282e+010,33.9794,0
7.291e+010,33.9794,0
7.3e+010,33.9794,0
7.309e+010,33.9794,0
7.318e+010,33.9794,0
7.327e+010,33.9794,0
7.336e+010,33.9794,0
7.345e+010,33.9794,0
7.354e+010,33.9794,0
7.363e+010,33.9794,0
7.372e+010,33.9794,0
7.381e+010,33.9794,0
7.39e+010,33.9794,0
7.399e+010,33.9794,0
7.408e+010,33.9794,0
7.417e+010,33.9794,0
7.426e+010,33.9794,0
7.435e+010,33.9794,0
7.444e+010,33.9794,0
7.453e+010,33.9794,0
7.462e+010,33.9794,0
7.471e+010,33.9794,0
7.48e+010,33.9794,0
7.489e+010,33.9794,0
7.498e+010,33.9794,0
7.507e+010,33.9794,0
7.516e+010,33.9794,0
7.525e+010,33.9794,0
7.534e+010,33.9794,0
7.543e+010,33.9794,0
7.552e+010,33.9794,0
7.561e+010,33.9794,0
7.57e+010,33.9794,0
7.579e+010,33.9794,0
7.588e+010,33.9794,0
7.597e+010,33.9794,0
7.606e+010,33.9794,0
7.615e+010,33.9794,0
7.624e+010,33.9794,0
7.633e+010,33.9794,0
7.642e+010,33.9794,0
7.651e+010,33.9794,0
7.66e+010,33.9794,0
7.669e+010,33.9794,0
7.678e+010,33.9794,0
7.687e+010,33.9794,0
7.696e+010,33.9794,0
7.705e+010,33.9794,0
7.714e+010,33.9794,0
7.723e+010,33.9794,0
7.732e+010,33.9794,0
7.741e+010,33.9794,0
7.75e+010,33.9794,0
7.759e+010,33.9794,0
7.768e+010,33.9794,0
7.777e+010,33.9794,0
7.786e+010,33.9794,0
7.795e+010,33.9794,0
7.804e+010,33.9794,0
7.813e+010,33.9794,0
7.822e+010,33.9794,0
7.831e+010,33.9794,0
7.84e+010,33.9794,0
7.849e+010,33.9794,0
7.858e+010,33.9794,0
7.867e+010,33.9794,0
7.876e+010,33.9794,0
7.885e+010,33.9794,0
7.894e+010,33.9794,0
7.903e+010,33.9794,0
7.912e+010,33.9794,0
7.921e+010,33.9794,0
7.93e+010,33.9794,0
7.939e+010,33.9794,0
7.948e+010,33.9794,0
7.957e+010,33.9794,0
7.966e+010,33.9794,0
7.975e+010,33.9794,0
7.984e+010,33.9794,0
7.993e+010,33.9794,0
8.002e+010,33.9794,0
8.011e+010,33.9794,0
8.02e+010,33.9794,0
8.029e+010,33.9794,0
8.038e+010,33.9794,0
8.047e+010,33.9794,0
8.056e+010,33.9794,0
8.065e+010,33.9794,0
8.074e+010,33.9794,0
8.083e+010,33.9794,0
8.092e+010,33.9794,0
8.101e+010,33.9794,0
8.11e+010,33.9794,0
8.119e+010,33.9794,0
8.128e+010,33.9794,0
8.137e+010,33.9794,0
8.146e+010,33.9794,0
8.155e+010,33.9794,0
8.164e+010,33.9794,0
8.173e+010,33.9794,0
8.182e+010,33.9794,0
8.191e+010,33.9794,0
8.2e+010,33.9794,0
8.209e+010,33.9794,0
8.218e+010,33.9794,0
8.227e+010,33.9794,0
8.236e+010,33.9794,0
8.245e+010,33.9794,0
8.254e+010,33.9794,0
8.263e+010,33.9794,0
8.272e+010,33.9794,0
8.281e+010,33.9794,0
8.29e+010,33.9794,0
8.299e+010,33.9794,0
8.308e+010,33.9794,0
8.317e+010,33.9794,0
8.326e+010,33.9794,0
8.335e+010,33.9794,0
8.344e+010,33.9794,0
8.353e+010,33.9794,0
8.362e+010,33.9794,0
8.371e+010,33.9794,0
8.38e+010,33.9794,0
